title,date,text
Ânimo e desânimo na Educação brasileira.,27/11/2023,A Educação em nosso país é uma tragédia medida e comprovada nacional e internacionalmente.
Infiltrados!,20/11/2023,"A guerra cultural é uma outra forma de guerra, mas também produz suas vítimas que carregarão para sempre as sequelas que causa.."
O trágico destino de um boneco de sal,13/11/2023,"Não permita que ""coletivo"" algum lhe roube a alma e a liberdade."
Faca sem cabo e sem lâmina,06/11/2023,"Num processo de crescimento lento, ou recessivo, podem acontecer duas coisas e nenhuma é boa."
Os filhotes de Mussolini,30/10/2023,O fascismo está onde lhe ensinaram a não ver.
"Anistia, uma carta aos brasileiros",23/10/2023,Por uma questão de justiça e aversão à injustiça.
O que a esquerda não quer que façamos.,16/10/2023,Temos que entender e compreender as razões disso porque é a tarefa a cumprir.
Mistério e sedução na papuda e na Colmeia,09/10/2023,Que extraordinário poder de sedução foi acionado para que os presos do dia 8 de janeiro aplaudissem o ministro relator de seus processos?
O discurso do ministro Barroso,02/10/2023,O ministro fez um discurso tecnicamente perfeito para transmitir a impressão de ser uma pessoa moderada e a ideia de que o STF vem agindo muito bem.
Negar a natureza humana do feto é negacionismo e terraplanismo.,25/09/2023,Parece que o Brasil está se acostumando a ter três casas legislativas...
O trem dos condenados,18/09/2023,"O ""contexto amplo!"", tão mencionado pelos ministros do STF nos primeiros julgamentos, é apenas uma escolha política conveniente, entre outras possíveis."
A cidadania lesada,11/09/2023,"A cara de um Estado que rompeu relações com a sociedade, no abandono de uma avenida vazia."
Sapos para o jantar,04/09/2023,Até quando o Congresso vai deglutir e digerir os sapos que o STF lhe envia?
"Jamais silencie, jamais dê consentimento.",28/08/2023,"Não recuperaremos a liberdade com silêncios, omissões e concessões ao arbítrio."
Coloquem o chapéu aqueles em quem servir,21/08/2023,"Pessoas com habilidade para enganar os demais, têm, infelizmente, lugar privilegiado na política brasileira."
"Honra, desonra e hipocrisia",14/08/2023,Ética de ocasião nos assassinatos de reputação.
O silêncio de uma nação,07/08/2023,Resposta a um leitor
Culpados e inocentes sabem o que são.,31/07/2023,A nulidade do processo costuma ser o derradeiro argumento dos culpados
Hipocrisia em estado puro,24/07/2023,"Como pode alguém dizer que prender  não resolve, que o Brasil prende demais e, depois, querer dobrar as penas dos crimes cometidos contra si mesmo?"
48 horas para Lula explicar,17/07/2023,"A valer o que aconteceu no governo anterior, Lula deveria ser chamado a explicar o que falou sobre o combate à família, costumes e patriotismo."
Custos históricos das decisões mal tomadas,10/07/2023,As mudanças no modelo político brasileiro são sempre para pior e têm sido irreversíveis.
Uma estrada perigosa,03/07/2023,"Estamos vivendo um daqueles testes infantis de “juntar os pontinhos”. Se fizermos isso com os acontecimentos veremos com nitidez o projeto de má inspiração, que nos está imposto,"
Missão resgate,26/06/2023,A educação pública e privada naufragou no Brasil e arrasta a nação para o atraso com a hegemonia do que há de pior no mundo das ideias
"Para quem quer e pode, qualquer motivo serve",19/06/2023,Chegamos a este momento constrangedor. É hora de saber se é assim que queremos ficar.
O grande equívoco,12/06/2023,"A intensidade das motivações políticas nas decisões judiciais mostra que, ao contrário do que tem sido dito, é a Política que está comandando a Justiça no nosso país. E isso é terrível, como bem sabem venezuelanos e cubanos."
